"AA","AS","AE","CA","NH","MR","OT/UNK"
"2346"," 120","  14"," 375","   2"," 273"," 222"
"0.6998806683","0.0357995227","0.0041766110","0.1118735084","0.0005966587","0.0814439141","0.0662291169"
