"","AA","AS","NA","CA","PI","MR","OT"
"Athens",0.246053889376783,0.0385012939978705,0.00450762020968206,0.582299041742117,0.000668371272470098,0.0669692471497074,0.0610005362513698
"Atlanta",0.472239655915703,0.0448492626048946,0.00281924546083434,0.39750157905818,0.000437123407156392,0.058249701733455,0.0239034318197768
"Augusta",0.552745066720876,0.0192394255760937,0.00333967387358608,0.343633081163755,0.00201348453827799,0.0561742825751306,0.0228549855522804
"Baltimore",0.577895470097728,0.0362125837448012,0.00394735943507686,0.278340060234793,0.000317564383617775,0.0554030335935312,0.0478839285104523
"Boston",0.205536322961546,0.112515855172894,0.00417969738635708,0.470809461153531,0.000526902361736232,0.10538195241006,0.101049808553875
"Chapel Hill",0.096400903808909,0.150177533892834,0.00437378954163977,0.641575209812782,0.000371207230471272,0.0770497094899935,0.0300516462233699
"Chicago",0.291726806263354,0.0701233765950041,0.0125776110294685,0.359118959156536,0.000395792582839715,0.107867133121758,0.15819032125104
"Dallas",0.232736804257045,0.0372499097271575,0.0117879849338267,0.360952606566036,0.000526687412170849,0.162126191850681,0.194619815253082
"Dayton",0.406708610618698,0.0142977536252942,0.00373427101798843,0.475945191944436,0.000559414140827061,0.0655749614948708,0.0331797971578856
"Hartford",0.38190394369455,0.0353809043897765,0.00811208221124457,0.193814330794521,0.000685644423149999,0.125464668660267,0.254638425826491
"Los Angeles",0.0862061580297465,0.118664535041643,0.0170544536488261,0.348590970380997,0.00152869627087882,0.132943481585238,0.295011705042671
"Lubbock",0.101434621472266,0.0366452646602448,0.0108073002749464,0.59498485266838,0.000843894983685993,0.13867877934674,0.116605286593737
"New York",0.220763636404939,0.157327817777672,0.00979283727407064,0.340854184200932,0.000780764613212573,0.100758502485748,0.169722257243426
"Philadelphia",0.393105860654434,0.0832730077434987,0.00387330815558328,0.363285378386417,0.000581120927399166,0.0691484021980338,0.0867329219346339
"San Diego",0.0593143715769771,0.178710996645834,0.00917276405764666,0.463832401300136,0.00409753326046266,0.143744610406278,0.141127322752666
"Seattle",0.069766558346845,0.170509419754008,0.00705141686397156,0.612773145729734,0.00286154284512527,0.105099624838029,0.0319382916222872
"Stonybrook",0.0167075072399198,0.124155342689537,0.000668300289596792,0.783322194995173,0.000222766763198931,0.0620034157570357,0.012920472265538
"Syracuse",0.306742026645135,0.0699973085721975,0.00947382586462118,0.478905934598304,0.000450814156910241,0.0901964742295788,0.0442336159332526
