"","AA","AS","AE","CA","NH","MR","OT/UNK"
"freq","2692"," 701"," 266","7543"," 116","1331","1793"
"prop","0.186400776","0.048538984","0.018418502","0.522296081","0.008032129","0.092161750","0.124151780"
