"","City","AA","AS","NA","CA","PI","MR","OT"
"1","Athens, GA*",30988,4869,247,72238,84,2525,5763
"2","Atlanta, GA",226894,13188,988,161115,132,8369,9317
"3","Augusta, GA**",108633,3331,685,79642,400,5230,2646
"4","Baltimore, MD",395781,14548,2270,183830,274,12955,11303
"5","Boston, MA",150437,55235,2399,333033,265,24332,51893
"6","Chapel Hill, NC",5530,6788,176,41641,14,1548,1536
"7","Chicago, IL",887608,147164,13337,1212835,1013,73148,360493
"8","Dallas, TX",298993,34263,8099,607415,482,31733,216831
"9","Dayton, OH",60705,1206,417,73193,52,4126,1828
"10","Hartford, CT",48331,3437,777,37205,62,5296,29667
"11","Los Angeles, CA",365118,426959,28215,1888158,5577,175635,902959
"12","Lubbock, TX",19647,5559,1698,174014,172,5783,22700
"13","New York, NY",2088510,1038388,57512,3597341,5147,325901,1062334
"14","Philadelphia, PA",661839,96405,6996,626221,744,43070,90731
"15","San Diego, CA",87949,207944,7696,769971,5908,66688,161246
"16","Seattle, WA",48316,84215,4809,422870,2351,31247,14852
"17","Stonybrook, NY",229,1033,11,12171,6,187,103
"18","Syracuse, NY",42770,8021,1606,81319,44,7473,3937
