"","AA","AS","AE","CA","NH","MR","OT/UNK"
"freq","157"," 26","  1","255","  6"," 35","  1"
"prop","0.326403326","0.054054054","0.002079002","0.530145530","0.012474012","0.072765073","0.002079002"
