"AA","AS","AE","CA","NH","MR","OT","AA","AS","AE","CA","NH","MR","OT","AA","AS","AE","CA","NH","MR","OT","AA","AS","AE","CA","NH","MR","OT","AA","AS","AE","CA","NH","MR","OT","AA","AS","AE","CA","NH","MR","OT","AA","AS","AE","CA","NH","MR","OT","AA","AS","AE","CA","NH","MR","OT","AA","AS","AE","CA","NH","MR","OT","AA","AS","AE","CA","NH","MR","OT","AA","AS","AE","CA","NH","MR","OT","AA","AS","AE","CA","NH","MR","OT","AA","AS","AE","CA","NH","MR","OT","AA","AS","AE","CA","NH","MR","OT","AA","AS","AE","CA","NH","MR","OT"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.304014626717222,-0.0363605740657692,-0.00104574264323066,-0.254642857328434,0.000399065551287997,0.00217213419477067,-0.0145366524258475,0.422055467753849,0,0,-0.350636590467951,0,-0.0108788356052154,-0.0188526033154822,0.343012608654849,0,0,-0.297111620299136,0,0.00743555574080683,-0.0116491057313191,0.119827734018963,-0.0327659495686232,0.00332891305516345,-0.0944124125023321,0.00258639340048505,0.0156502400845849,-0.0142149184882407,0,0,0,0.442185015786491,0,0,0.143549671027091,0.304014626717222,-0.0363605740657692,-0.00104574264323066,-0.254642857328434,0.000399065551287997,0.00217213419477067,-0.0145366524258475,0.422055467753849,0,0,-0.350636590467951,0,-0.0108788356052154,-0.0188526033154822,0.343012608654849,0,0,-0.297111620299136,0,0.00743555574080683,-0.0116491057313191,0.119827734018963,-0.0327659495686232,0.00332891305516345,-0.0944124125023321,0.00258639340048505,0.0156502400845849,-0.0142149184882407,0,0,0,0.442185015786491,0,0,0.143549671027091,0.304014626717222,-0.0363605740657692,-0.00104574264323066,-0.254642857328434,0.000399065551287997,0.00217213419477067,-0.0145366524258475,0.422055467753849,0,0,-0.350636590467951,0,-0.0108788356052154,-0.0188526033154822,0.343012608654849,0,0,-0.297111620299136,0,0.00743555574080683,-0.0116491057313191,0.119827734018963,-0.0327659495686232,0.00332891305516345,-0.0944124125023321,0.00258639340048505,0.0156502400845849,-0.0142149184882407,0,0,0,0.442185015786491,0,0,0.143549671027091
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.268497846877991,-0.118401572485662,0.00715320656022342,-0.15794516409458,0.00124721148477405,0.00459237123549954,-0.00514389957824626,0.159139472018455,-0.104215496717134,0.00446333213034247,-0.033996645924334,0,-0.0160790418921112,-0.00900119870123845,0.38662649590166,-0.132840039508714,0.0103955904327111,-0.290049001734707,0.00295399693150437,0.0231297222095706,-0.000216764232024748,0.236825988103328,0,0,-0.159057758665118,0,0.0898171153387483,0,0,0,0,0.317132717525358,0,0,0,0.268497846877991,-0.118401572485662,0.00715320656022342,-0.15794516409458,0.00124721148477405,0.00459237123549954,-0.00514389957824626,0.159139472018455,-0.104215496717134,0.00446333213034247,-0.033996645924334,0,-0.0160790418921112,-0.00900119870123845,0.38662649590166,-0.132840039508714,0.0103955904327111,-0.290049001734707,0.00295399693150437,0.0231297222095706,-0.000216764232024748,0.236825988103328,0,0,-0.159057758665118,0,0.0898171153387483,0,0,0,0,0.317132717525358,0,0,0,0.268497846877991,-0.118401572485662,0.00715320656022342,-0.15794516409458,0.00124721148477405,0.00459237123549954,-0.00514389957824626,0.159139472018455,-0.104215496717134,0.00446333213034247,-0.033996645924334,0,-0.0160790418921112,-0.00900119870123845,0.38662649590166,-0.132840039508714,0.0103955904327111,-0.290049001734707,0.00295399693150437,0.0231297222095706,-0.000216764232024748,0.236825988103328,0,0,-0.159057758665118,0,0.0898171153387483,0,0,0,0,0.317132717525358,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.248406838040596,-0.010939453145014,0.000534429917433378,-0.221691964157743,0,-0.00110919082675417,-0.0147385774489009,0.105376222842797,-0.0097590698008114,-0.00172456764980001,-0.0636701343350984,0,-0.0132944853964369,-0.016465883281033,0.293678703854012,0,0.00108990515312989,-0.268966330877928,0,0.000824192727627876,-0.014795012718281,0.330493044118594,0,0.00280009571722132,-0.318928326643171,0,0.00810381340917048,-0.0106371684632545,0.248693453116549,0,0,0,0,0.286222422816123,0,0.248406838040596,-0.010939453145014,0.000534429917433378,-0.221691964157743,0,-0.00110919082675417,-0.0147385774489009,0.105376222842797,-0.0097590698008114,-0.00172456764980001,-0.0636701343350984,0,-0.0132944853964369,-0.016465883281033,0.293678703854012,0,0.00108990515312989,-0.268966330877928,0,0.000824192727627876,-0.014795012718281,0.330493044118594,0,0.00280009571722132,-0.318928326643171,0,0.00810381340917048,-0.0106371684632545,0.248693453116549,0,0,0,0,0.286222422816123,0,0.248406838040596,-0.010939453145014,0.000534429917433378,-0.221691964157743,0,-0.00110919082675417,-0.0147385774489009,0.105376222842797,-0.0097590698008114,-0.00172456764980001,-0.0636701343350984,0,-0.0132944853964369,-0.016465883281033,0.293678703854012,0,0.00108990515312989,-0.268966330877928,0,0.000824192727627876,-0.014795012718281,0.330493044118594,0,0.00280009571722132,-0.318928326643171,0,0.00810381340917048,-0.0106371684632545,0.248693453116549,0,0,0,0,0.286222422816123,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
