"City","y2010","y2011","y2012","y2013","y2014"
"San Diego",1.25032708747012,1.27698264327227,1.30185773169267,1.32513993087332,1.34697085545512
"Los Angeles",1.34845406788017,1.37543147506298,1.40031931332971,1.42330507631927,1.44452761168124
"New York",1.40508549619865,1.42699723085069,1.44762361122515,1.46705912896,1.48537764662221
"Philadelphia",1.19922151857624,1.21875100467533,1.23748487493906,1.25548766685657,1.27281145511454
"Seattle",1.03055223622512,1.04890727425242,1.06654303488908,1.08350469584993,1.09983020343016
