"","AA","AS","AE","CA","NH","MR","OT/UNK"
"USC",0.15854704185829,0.0509782523969132,0.0193312027437836,0.53168602385221,0.00826253020500429,0.0966560137189181,0.134538935224881
"UCLA",0.412655971479501,0.0392156862745098,0.00445632798573975,0.467914438502674,0.00802139037433155,0.0427807486631016,0.0249554367201426
