"AA","AS","AE","CA","NH","MR","OT/UNK"
"4127"," 151","  39"," 773","   5"," 571"," 480"
"0.6714936544","0.0245688253","0.0063455906","0.1257728604","0.0008135373","0.0929059551","0.0780995770"
