"AA","AS","AE","CA","NH","MR","OT/UNK"
"1035","   3","   2"," 175","   1","  55","  11"
"0.8073322933","0.0023400936","0.0015600624","0.1365054602","0.0007800312","0.0429017161","0.0085803432"
