"AA","AS","AE","CA","NH","MR","OT/UNK"
"2278","  94","  14"," 283","   1"," 265"," 221"
"0.7217997465","0.0297845374","0.0044359949","0.0896704689","0.0003168568","0.0839670469","0.0700253485"
