"AA","AS","AE","CA","NH","MR","OT/UNK"
"1070","  20","  16"," 172","   1"," 193"," 149"
"0.6600863664","0.0123380629","0.0098704503","0.1061073411","0.0006169031","0.1190623072","0.0919185688"
