"AA","AS","AE","CA","NH","MR","OT","AA","AS","AE","CA","NH","MR","OT","AA","AS","AE","CA","NH","MR","OT","AA","AS","AE","CA","NH","MR","OT","AA","AS","AE","CA","NH","MR","OT"
0.0175972610227981,-0.00559716689333604,0.000311585604683082,-0.00603320540575051,0.000673329265383305,0.0018039813414671,-0.00769771335265216,0.0167286750685493,-0.000834681412725335,3.46439988225503e-05,-0.00384086583265595,0.00149214888633398,-0.000232853647326938,-0.00920350746026267,0.0312858581365972,-0.0105887704381696,0.00065243567401087,-0.0161722611151997,0.000929360514815348,0.00389015888470276,-0.00878152781873351,0.00861716908015124,-0.0105366050782196,0.00159629760097215,0.0112232181811,0.000507316737443626,0.00203034533902191,-0.0104723820713812,0.0174153867791392,-0.0193236475940994,0.00175071079706923,0.0811949596173091,NA,0.0155708991052515,-0.00639464981977686
0.00516528115577459,0.00176741756442316,0.000330335112464077,0.00577514745942099,0.000309992870148507,0.00202516193766984,0.00273349854929925,0.00686981397328783,0.00406199688586282,0.000152979903191444,0.00811889670846815,0.000750325991825976,0.00129533759208846,0.00391801624277269,0.00592152771147811,0.00203563192570447,0.000195777718812246,0.00655150392942846,0.000393815663149124,0.00242196823028622,0.00336709802340986,0.0101360031083477,0.00249503953840293,0.00165591438029625,0.012338685685819,0.000319851214661976,0.00338691674284053,0.00506286609637498,0.0580983385331378,0.00808045602524204,NA,0.0486797790765239,NA,0.0681091982374857,0.0309546278376213
0.00335773631246538,0.00597978304444414,0.359583683595351,0.310797251545644,0.057916960354235,0.385479034170878,0.0137387729618571,0.0288589031844042,0.840375583600243,0.826521948487406,0.642968737939686,0.0938892652284706,0.860110454213747,0.0407084593220248,6.08284948192872e-05,0.000134165041183738,0.00597004363929767,0.0244741606117281,0.0647601024295101,0.127783544230112,0.0216727444252044,0.410623965937252,0.00290383871736463,0.367159639625282,0.378429336342797,0.187901104051101,0.558438862296409,0.068533774360146,0.814594745336763,0.252143685294185,NA,0.193919139402892,NA,0.85691704686869,0.855458868258344
0.405729991418091,0.38530130964688,0.0526772709162433,0.0603251942455717,0.343924379263984,0.0445947047161591,0.361611797637405,0.297531020819736,0.00323750649365037,0.00636974558445138,0.014700804778381,0.39727558178331,0.0024795826701167,0.355583143648182,0.621502405389423,0.65901732752364,0.48064931860155,0.263858843975029,0.526921356882649,0.138852955319185,0.343496510648805,0.0526688946444061,0.690329478614205,0.117197293529821,0.0557998508525359,0.386100116498226,0.0250262439563229,0.322215887164517,0.0824461507589134,0.851164355272636,1,0.481150585928064,NA,0.0496695787978965,0.0208921387651587
0.00889550136640796,-0.0038331845977252,0.000286975764650075,-0.00240180639522153,0.000915517266128764,0.0014527795101525,-0.00582564333112147,0.00824764667851226,-0.000452516233259732,-1.05209862414192e-05,0.00037457870109057,0.00161905207370853,4.39177067836507e-05,-0.00706059673329429,0.014549186583346,-0.00575288147413193,0.000454771732996463,-0.0070039152603801,0.000920312290911994,0.00253729795275206,-0.005726218210401,0.00129764402959342,-0.00506290728628369,0.00136942633722946,0.0063479997609402,0.000429934266485029,0.000973052964580266,-0.00627944709184968,0.00985341295798254,-0.00619632870408401,0.000642567334830514,0.0223111285684706,NA,0.00977623060095291,-0.00134612608204187
0.00318647997372537,0.00110175051082643,0.000276267852804263,0.0031544136573241,0.00031421296684928,0.00127955489094438,0.00160174074655924,0.00365783663092906,0.00229875136424922,0.000114712539947856,0.00384645072880887,0.000612441048534452,0.000760983149929377,0.001935349646797,0.00336111380885678,0.00116498159474136,0.000161171290159442,0.00320183755183022,0.00035866110006581,0.00134479910971315,0.00181129342880968,0.00441073612574269,0.00138529060265956,0.00111415799615804,0.00479462668350906,0.000335905156246427,0.0016201503846356,0.00225072024632386,0.0110093623571146,0.00219786879017787,NA,0.00716852662465074,NA,0.0156994372061073,0.0089520736063718
0.0125237644898245,0.00309678633068702,0.314360805170891,0.456844710598817,0.0172077685309256,0.271971214465448,0.0026930110455183,0.040684812545175,0.846986766021375,0.929178634779,0.923711602028876,0.0383550990584828,0.954855848511313,0.00447540668038349,0.000455954604023077,0.000218198753085743,0.0154121953963342,0.0429701067007215,0.0502809116898919,0.0774760290845267,0.00750513562404806,0.773249120252413,0.00644982799212658,0.258739511447521,0.206720259891007,0.269761298883176,0.557708671413665,0.0210547959244897,0.53523733317177,0.216998339129835,NA,0.0527838644078471,NA,0.645433063220444,0.894268136278357
0.314329438737194,0.43069959189018,0.0631781313384208,0.0329781339691437,0.48540711590264,0.0704838454437395,0.485828680070929,0.266403848714398,0.00297199675511149,0.00105037581678321,0.000631829741706082,0.538058090813551,0.000256138358872394,0.570991609165987,0.524308822732355,0.635279511896264,0.398851970668821,0.219647033670247,0.568376983687107,0.181996587554493,0.434645770373373,0.0066139922033162,0.625420542592961,0.177507832202042,0.111276358493442,0.290555554213981,0.0251180712566278,0.463773276549385,0.444762309033728,0.888244900287424,1,0.76353497361756,NA,0.279419731885768,0.0111792270060521
0.00790558513719529,-0.00283058840490318,0.000185573168256585,-0.00213914306852581,0.000402887771318073,0.00112796317260579,-0.00415604067989714,0.00711190893226283,-0.00010528572081857,4.11830011241284e-06,0.000366548928034965,0.000837095904006259,-5.91711740179857e-06,-0.00512412023844621,0.012984235973359,-0.00442858910437039,0.000289667667825785,-0.00646327999596464,0.000491967046437646,0.00200046795743204,-0.00406672503002278,0.00139462893661732,-0.00387675156094621,0.000867635336546692,0.00615729712929467,0.000249554350678902,0.00079737712592534,-0.00466561202405261,0.00816153830990093,-0.00503997660630576,0.000456224393005707,0.0213282144597163,NA,0.00861347033777276,0.000550191918623921
0.00280318266560714,0.00091537384036381,0.000168434099800491,0.00297481231777328,0.000162177679096313,0.00101390625151404,0.00139114271783881,0.00322680866930882,0.00185523985881067,7.30143717604911e-05,0.0036340620207474,0.000315236074097782,0.000603427621922917,0.00174834286024973,0.00292930046596915,0.000999525297405559,9.71682530167463e-05,0.00303067641676076,0.000183420040440267,0.00106902731539112,0.00156086713514782,0.00393775571286217,0.00118439691486115,0.000687040829866411,0.00448355162436966,0.00014184245994425,0.00127241577468401,0.00199469003658059,0.0100253071872663,0.00210264686682935,NA,0.00664304845668801,NA,0.012147336400722,0.00705165559528114
