"City","Proportion.HCS","Proportion.SZ"
"Los Angeles","20.4%","18.7%"
"New York","18.5%","19.1%"
"Philadelphia","19.5%","19.3%"
"San Diego","20.8%","25.1%"
"Seattle","20.8%","17.9%"
